"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/13/2026","5/13/2026","5/14/2026","SPXW","SPXW 5/13/2026 Put $7,445.00","OASGN","10","",""
"5/13/2026","5/13/2026","5/14/2026","SPXW","Option Maturity: Cash Component","OCC","","","($750.00)"
"5/13/2026","5/13/2026","5/14/2026","SPXW","Option Expiration for SPXW 5/13/2026 Call $7,465.00","OEXP","11","",""
"5/13/2026","5/13/2026","5/14/2026","SPXW","Option Expiration for SPXW 5/13/2026 Put $7,440.00","OEXP","10S","",""
"5/13/2026","5/13/2026","5/14/2026","SPXW","Option Expiration for SPXW 5/13/2026 Call $7,470.00","OEXP","11S","",""
"5/13/2026","5/13/2026","5/14/2026","SPXW","SPXW 5/13/2026 Put $7,440.00","BTO","10","$0.37","($378.90)"
"5/13/2026","5/13/2026","5/14/2026","SPXW","SPXW 5/13/2026 Put $7,445.00","STO","10","$0.82","$811.10"
"5/13/2026","5/13/2026","5/14/2026","SPXW","SPXW 5/13/2026 Call $7,445.00","STC","4","$12.00","$4,796.08"
"5/13/2026","5/13/2026","5/14/2026","SPXW","SPXW 5/13/2026 Call $7,440.00","BTC","4","$16.70","($6,683.92)"
"5/13/2026","5/13/2026","5/14/2026","SPXW","SPXW 5/13/2026 Call $7,470.00","BTO","11","$1.40","($1,550.78)"
"5/13/2026","5/13/2026","5/14/2026","SPXW","SPXW 5/13/2026 Call $7,465.00","STO","11","$2.05","$2,244.22"
"5/13/2026","5/13/2026","5/14/2026","SPXW","SPXW 5/13/2026 Call $7,445.00","BTO","4","$1.17","($471.92)"
"5/13/2026","5/13/2026","5/14/2026","SPXW","SPXW 5/13/2026 Call $7,440.00","STO","4","$1.67","$664.08"
"5/13/2026","5/13/2026","5/14/2026","ETN","Eaton
CUSIP: G29183103
Dividend Reinvestment","Buy","0.008305","$400.95","($3.33)"
"5/12/2026","5/12/2026","5/12/2026","","Brokerage-held Cash Interest Payment","INT","","","$1.79"
"5/12/2026","5/12/2026","5/12/2026","ETN","Cash Div: R/D 2026-05-08 P/D 2026-05-29 - 3.027946 shares at 1.1","CDIV","","","$3.33"
"5/12/2026","5/12/2026","5/13/2026","SPXW","SPXW 5/12/2026 Put $7,320.00","STC","4","$0.42","$164.44"
"5/12/2026","5/12/2026","5/13/2026","SPXW","SPXW 5/12/2026 Put $7,325.00","BTC","4","$0.52","($211.56)"
"5/12/2026","5/12/2026","5/13/2026","SPXW","SPXW 5/12/2026 Put $7,320.00","BTO","1","$2.70","($270.98)"
"5/12/2026","5/12/2026","5/13/2026","SPXW","SPXW 5/12/2026 Put $7,320.00","BTO","1","$2.70","($270.98)"
"5/12/2026","5/12/2026","5/13/2026","SPXW","SPXW 5/12/2026 Put $7,320.00","BTO","1","$2.70","($270.98)"
"5/12/2026","5/12/2026","5/13/2026","SPXW","SPXW 5/12/2026 Put $7,320.00","BTO","1","$2.70","($270.98)"
"5/12/2026","5/12/2026","5/13/2026","SPXW","SPXW 5/12/2026 Put $7,325.00","STO","4","$3.30","$1,316.08"
"5/11/2026","5/11/2026","5/12/2026","SPY","SPY 5/11/2026 Call $741.00","BTC","8","$0.08","($64.32)"
"5/11/2026","5/11/2026","5/12/2026","SPY","SPY 5/11/2026 Call $743.00","STC","8","$0.02","$15.64"
"5/11/2026","5/11/2026","5/12/2026","SPY","SPY 5/11/2026 Call $743.00","BTO","8","$0.09","($72.32)"
"5/11/2026","5/11/2026","5/12/2026","SPY","SPY 5/11/2026 Call $741.00","STO","8","$0.30","$239.64"
"5/11/2026","5/11/2026","5/12/2026","MU","Micron Technology
CUSIP: 595112103","Buy","2","$785.64","($1,571.28)"
"5/7/2026","5/7/2026","5/8/2026","SPXW","Option Expiration for SPXW 5/7/2026 Call $7,410.00","OEXP","3","",""
"5/7/2026","5/7/2026","5/8/2026","SPXW","Option Expiration for SPXW 5/7/2026 Call $7,415.00","OEXP","3S","",""
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Call $7,400.00","STC","1","$0.12","$11.11"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Call $7,395.00","BTC","1","$0.17","($17.89)"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Call $7,400.00","STC","2","$0.12","$22.22"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Call $7,395.00","BTC","2","$0.17","($35.78)"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Call $7,400.00","BTO","2","$2.15","($431.96)"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Call $7,395.00","STO","2","$3.05","$608.04"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Call $7,400.00","BTO","1","$2.15","($215.98)"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Call $7,395.00","STO","1","$3.05","$304.02"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Put $7,310.00","STC","4","$0.83","$328.44"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Put $7,315.00","BTC","4","$0.93","($375.56)"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Call $7,415.00","BTO","3","$1.40","($422.94)"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Call $7,410.00","STO","3","$1.75","$522.06"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Put $7,310.00","BTO","4","$2.32","($931.92)"
"5/7/2026","5/7/2026","5/8/2026","SPXW","SPXW 5/7/2026 Put $7,315.00","STO","4","$2.62","$1,044.08"
"5/6/2026","5/6/2026","5/6/2026","CARL","Stock Lending","SLIP","","","$0.01"
"5/5/2026","5/5/2026","5/6/2026","SPXW","SPXW 5/5/2026 Put $7,210.00","BTC","1","$1.35","($135.98)"
"5/5/2026","5/5/2026","5/6/2026","SPXW","SPXW 5/5/2026 Put $7,205.00","STC","1","$1.15","$114.02"
"5/5/2026","5/5/2026","5/6/2026","SPXW","SPXW 5/5/2026 Put $7,210.00","BTC","4","$1.40","($563.92)"
"5/5/2026","5/5/2026","5/6/2026","SPXW","SPXW 5/5/2026 Put $7,205.00","STC","4","$1.20","$476.08"
"5/5/2026","5/5/2026","5/6/2026","","ACH Deposit","ACH","","","$500.00"
"5/5/2026","5/5/2026","5/6/2026","SPXW","SPXW 5/5/2026 Put $7,205.00","BTO","5","$2.22","($1,114.90)"
"5/5/2026","5/5/2026","5/6/2026","SPXW","SPXW 5/5/2026 Put $7,210.00","STO","5","$2.62","$1,305.10"
"5/5/2026","5/5/2026","5/5/2026","","Instant bank transfer - account ending in 3356","RTP","","","$2,151.96"
"5/1/2026","5/1/2026","5/4/2026","SPY","SPDR S&P 500 ETF Trust
CUSIP: 78462F103
Dividend Reinvestment","Buy","0.076471","$722.62","($55.26)"
"4/30/2026","4/30/2026","4/30/2026","","Brokerage-held Cash Interest Payment","INT","","","$0.37"
"4/30/2026","4/30/2026","4/30/2026","SPY","Cash Div: R/D 2026-03-20 P/D 2026-04-30 - 30.749152 shares at 1.796999","CDIV","","","$55.26"
"4/30/2026","4/30/2026","4/30/2026","","Gold Deposit Boost Payment","GDBP","","","$16.88"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
